Rank,Team,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,SOS_NetRtg,SOS_ORtg,SOS_DRtg,NCSOS_NetRtg
276,North Dakota,Sum,18-17,-9.56,107.1,116.6,67.3,0.111,-3.35,108.3,111.7,-0.28
277,UTEP,CUSA,11-20,-9.57,101.1,110.7,65.5,0.010,-0.03,109.1,109.1,3.73
278,Mount St. Mary's,MAAC,15-17,-9.62,99.6,109.2,67.6,0.028,-6.92,104.8,111.7,1.11
279,Bellarmine,ASun,13-19,-9.65,116.8,126.4,64.7,-0.013,-4.43,108.9,113.3,2.78
280,Northwestern St.,Slnd,10-22,-10.14,102.5,112.7,64.8,-0.013,-0.55,108.1,108.6,8.24
281,South Dakota,Sum,16-16,-10.31,104.5,114.8,69.9,0.056,-5.42,107.4,112.8,-3.44
282,Morehead St.,OVC,20-13,-10.36,107.1,117.5,65.4,0.160,-6.70,104.4,111.1,6.58
283,Northeastern,CAA,7-24,-10.50,107.8,118.3,69.6,-0.061,-1.35,108.6,109.9,-0.39
284,Mercyhurst,NEC,17-16,-10.55,101.3,111.8,64.8,-0.006,-10.97,102.8,113.8,0.57
285,Southeastern Louisiana,Slnd,9-22,-10.59,99.8,110.4,65.5,-0.006,-0.57,108.5,109.0,5.43
