
Vanderbilt,125.783,99.6244,0.935909,24-7,24,31,55.6,48.5,38.4,41.5,13.6,18,31.3,30.3,69.5137,57.7,49.4,35.4,31.4,0,0,55.8,45.5,43.9,38.4,69.5137,,,,2026,,,,5.94147,78.3,
"Washington St.",114.952,111.126,0.596093,12-20,12,32,54.7,52.6,30.2,33,18.4,14.6,29.5,28.2,67.8572,54.6,52.4,36.5,35.4,0,0,51.6,49.2,44.8,36.7,67.8572,,,,2026,,,,-11.209,74.5,
Akron,119.03,106.474,0.782777,26-5,26,31,59.1,50.8,29.1,30.1,15.7,18.6,33.9,29.9,70.6254,59.4,49.3,39.2,35.1,0,0,58.6,50.9,45.3,43.2,70.6254,,,,2026,,,,-0.541246,77.1,
"Bowling Green",106.576,105.569,0.527266,18-13,18,31,51.6,50.8,37.2,37.8,16.5,18.5,28.8,26.7,68.2129,51.5,51.6,34.6,33.1,0,0,48.4,52.5,34.4,41.8,68.2129,,,,2026,,,,-8.71052,72.8,
Memphis,108.32,104.742,0.595391,13-18,13,31,49,48.8,34.3,42.3,19,18.7,35.1,35.7,69.8831,49.6,51.6,31.9,30.1,0,0,50.3,54.6,33.6,42.8,69.8831,,,,2026,,,,-8.84425,72.3,
"Central Arkansas",110.272,108.752,0.539837,22-12,22,34,54,54.9,31.2,30.1,15.4,19,28.8,27.4,67.8845,54.7,57.3,35.5,35.2,0,0,58,62.3,48.7,52.3,67.8845,,,,2026,,,,-6.51015,70.7,
"Murray St.",115.709,112.699,0.575222,20-12,20,32,53.8,52.3,39.1,32.9,16.2,16,33,31.3,71.7633,55,51.5,34.8,36.3,0,0,49.3,43.7,44.8,27.3,71.7633,,,,2026,,,,-5.28831,75.7,
American,105.815,112.536,0.33001,16-16,16,32,51.5,54.4,28.7,42.1,15.6,19.2,26.9,29.4,66.6948,53.3,55.1,33,35.5,0,0,49.5,53.7,46.5,37,66.6948,,,,2026,,,,-11.5574,75.8,
"Notre Dame",115.483,108.158,0.679959,13-18,13,31,52.3,51.8,34.1,36.2,17,14,31.2,26.7,65.9929,51.4,53.6,35.6,33.2,0,0,47.4,55.4,43.5,47.4,65.9929,,,,2026,,,,-5.60766,69.7,
Creighton,115.922,106.37,0.72888,15-16,15,31,53.5,51.3,27.4,24,16.6,14.2,27.7,29.9,67.1998,54.6,50.6,35,35.3,0,0,58.3,50.5,48,32.4,67.1998,,,,2026,,,,-3.46032,76.1,
Duke,128.542,90.5904,0.982431,29-2,29,31,57.4,45.8,37.9,22.7,15.5,18.5,37.2,24.9,65.8842,61,46.2,35.3,30.1,0,0,59.6,52.4,44.2,45.6,65.8842,,,,2026,,,,12.0119,72.3,
"Indiana St.",106.608,109.439,0.42521,11-21,11,32,52.8,50.2,27.4,28.8,19.5,14.9,26.2,31.8,68.1791,57.4,52,31.5,31.3,0,0,64.9,43,45.2,34.4,68.1791,,,,2026,,,,-14.5658,67.8,
UCLA,124.493,102.749,0.90092,21-10,21,31,54,50.4,33.3,35.2,13.5,18.1,31.3,32.1,64.5038,52.2,53.4,38.2,31.2,0,0,58.3,61.8,35.4,45.1,64.5038,,,,2026,,,,2.87259,76.3,
Pacific,111.085,104.803,0.66139,18-15,18,33,52.2,50,30.5,36.3,20.1,15.1,35.3,25,64.3642,51.3,48.5,35.8,34.7,0,0,58,50.7,35.3,42.8,64.3642,,,,2026,,,,-6.74375,75.5,
"Texas A&M",121.128,101.568,0.883442,21-10,21,31,54.5,50.7,37.8,35.9,14.6,18.5,32.4,32,71.1225,54.2,52.8,36.5,31.9,0,0,61.5,56.4,46.1,41.4,71.1225,,,,2026,,,,1.90417,74,
"North Texas",103.666,102.572,0.530473,18-13,18,31,46.4,48.7,38.6,43.8,17.2,21.5,34.1,33.3,64.7903,47.8,49.8,29,31.2,0,0,49.4,48.5,32.3,38.1,64.7903,,,,2026,,,,-6.8051,70.3,
Nevada,115.216,105.15,0.741013,20-11,20,31,49.8,51.7,45.5,38.9,14.6,17.3,32.4,27.6,65.5554,47.1,51.2,36.9,34.9,0,0,57.1,55.9,32.5,43,65.5554,,,,2026,,,,-1.89239,75.1,
UTSA,100.862,118.812,0.131982,5-25,5,30,44.8,53.3,29.5,33.3,17.5,14.7,30.2,38.7,68.5893,45.5,53.8,29.2,35.1,0,0,42.8,56,41.3,43.3,68.5893,,,,2026,,,,-18.5989,69.8,
"Mississippi Valley St.",91.4561,121.331,0.0373042,3-30,3,33,45.2,55.5,33.9,50.8,21.9,17.1,26.4,35.5,67.1006,45.6,55.3,29.5,37.2,0,0,52.9,59.5,30.2,42.5,67.1006,,,,2026,,,,-24.8167,71.6,
"Gardner Webb",96.0626,122.615,0.056972,4-29,4,33,47.8,56.9,30.3,35.2,19.8,15.3,23.2,36.6,69.5775,48.6,59,31,36,0,0,41,55.3,39.8,41,69.5775,,,,2026,,,,-23.0253,68.5,
"Prairie View A&M",101.599,114.147,0.207636,14-17,14,31,47.6,51.6,43.4,44.2,16.3,19.4,26.9,35.3,71.8767,46.8,50.7,32.8,35.6,0,0,43.9,48.6,31.2,33.5,71.8767,,,,2026,,,,-12.7291,75.7,
Chattanooga,105.844,118.645,0.211992,13-19,13,32,54.2,51.7,29.7,42.6,14.4,13.2,21.8,31.7,67.0345,55.8,52.1,35,34.2,0,0,55.6,53.3,49.2,44.2,67.0345,,,,2026,,,,-15.2375,77.4,
"Georgia Southern",110.546,116.43,0.35516,21-16,21,37,51.4,52.3,39.6,41.4,14.6,18.7,28.8,35.2,70.0889,52.7,52.9,33.4,34.3,0,0,41.1,46.4,48.9,39.5,70.0889,,,,2026,,,,-11.8818,74.3,
"Northern Arizona",106.324,120.014,0.198955,10-22,10,32,51.7,56.9,31.8,32.7,16,16.6,23.3,33.4,63.7819,50.7,56.1,35.6,38.7,0,0,51,49.9,36.7,40,63.7819,,,,2026,,,,-16.5845,68.9,
Nebraska,118.284,93.9281,0.934098,26-5,26,31,55.7,47.6,27.5,24.8,14.3,19.3,26.2,27.3,66.8912,58.4,50.4,35.4,29.8,0,0,65.6,59.9,50.6,49.1,66.8912,,,,2026,,,,7.55614,75.5,
Yale,118.553,109.718,0.70902,23-5,23,28,56.1,51.8,36.3,27.9,14.2,16.6,32.8,28.3,65.039,54,51.8,40,34.6,0,0,54.7,50.9,35.9,44.9,65.039,,,,2026,,,,-0.575477,76.3,
"Tennessee Martin",98.6309,106.016,0.303573,22-11,22,33,48.7,46.1,37.4,35.8,21.4,20,37,32,64.2404,51.5,46.7,30.3,30.2,0,0,56.2,53.4,47.1,39.5,64.2404,,,,2026,,,,-7.91718,67.7,
"Morehead St.",107.221,118.276,0.244443,20-13,20,33,49.2,50.2,37.7,35.6,18,15.4,35.8,35.8,65.3147,49.7,49.1,32,34.5,0,0,47.4,54.8,30.5,39,65.3147,,,,2026,,,,-8.93462,74.1,
Tennessee,122.096,96.257,0.939035,21-10,21,31,52.1,48,38,36,17.5,16.4,45.3,27.3,65.4521,52.7,49.3,33.8,30.8,0,0,59.9,45.6,32.1,44.3,65.4521,,,,2026,,,,3.83842,69.4,
"Texas St.",105.01,110.191,0.364962,19-13,19,32,50,52,34,39.1,18.6,18.5,33.9,28.4,66.1314,50.5,51.1,32.2,35.7,0,0,48.2,43.8,24.6,37.5,66.1314,,,,2026,,,,-9.64568,76.2,
"Jackson St.",102.051,119.841,0.136108,11-20,11,31,45.9,53.5,37.1,42.2,19.2,16.1,29,37.3,69.5522,44.9,54.3,31.5,34.9,0,0,45.9,60.9,43.2,40.2,69.5522,,,,2026,,,,-13.038,76.7,
Mississippi,114.011,104.494,0.731535,12-19,12,31,50.2,51.1,34.1,41.1,14.2,16.9,28.9,32.9,65.8543,50.6,51.2,33,34,0,0,52.6,58.3,36.3,42.8,65.8543,,,,2026,,,,-5.93878,75.1,
Wyoming,115.615,107.786,0.69133,18-13,18,31,52.5,52.2,35.9,48.1,16.7,16.7,34.3,27.3,66.2357,54.4,53.9,33.4,32.8,0,0,53.6,45.1,43.5,36.1,66.2357,,,,2026,,,,-4.50823,75,
Minnesota,116.553,102.46,0.814868,15-16,15,31,54,51.8,36.3,27.2,16.4,17.2,27.3,29.8,62.5227,55.9,51.8,34.5,34.4,0,0,71.4,60.5,47.2,41.7,62.5227,,,,2026,,,,-3.15887,70.1,
