Team,TeamID,Season,BT_AdjOE,BT_AdjDE,BT_Barthag,BT_AdjT,BT_EFG_O,BT_EFG_D,BT_OR_Pct,BT_DR_Pct,BT_FTR,BT_FTRD,BT_AdjNetEff
IU Indy,1237.0,2026,106.821,117.945,0.242457,73.6708,52.2,58.2,28.7,35.6,15.9,19.2,-19.9285
Western Carolina,1441.0,2026,110.152,114.598,0.388158,67.8852,50.4,54.9,35.4,26.3,16.8,14.5,-10.5505
Eastern Kentucky,1184.0,2026,109.324,121.449,0.229797,67.2077,52.1,56.1,32.5,31.7,16.9,14.8,-16.424
Penn,1335.0,2026,107.496,106.557,0.525182,69.2483,50.4,52.0,30.9,30.1,15.5,17.7,-6.20732
South Carolina St.,1354.0,2026,95.8916,118.298,0.0820463,68.4944,46.6,54.3,31.1,37.4,20.5,18.5,-16.4433
Idaho,1225.0,2026,109.394,107.769,0.542911,67.2639,52.0,50.8,29.1,24.7,15.3,15.1,-9.02273
Stony Brook,1392.0,2026,106.037,110.726,0.378083,66.1383,50.2,50.7,28.0,32.4,16.8,17.1,-10.4999
Evansville,1191.0,2026,102.755,114.665,0.220771,66.9341,49.3,55.1,22.0,30.2,19.1,15.4,-17.5369
Saint Peter's,1389.0,2026,103.865,110.058,0.339391,65.4394,46.4,48.1,37.0,34.7,17.7,20.0,-8.32198
Virginia,1438.0,2026,121.616,96.5971,0.933928,65.68,54.4,45.4,38.3,28.7,15.9,15.8,6.80511
UCF,1416.0,2026,122.075,107.405,0.813415,69.2755,54.0,52.6,34.6,28.4,15.8,15.6,1.67114
Drexel,1180.0,2026,103.288,105.358,0.443199,64.1757,50.7,47.1,31.2,31.0,19.0,16.4,-11.6031
Charleston Southern,1149.0,2026,105.476,112.648,0.319391,71.5724,54.1,46.9,29.4,30.3,18.5,12.8,-13.17
Northern Iowa,1320.0,2026,110.18,99.2412,0.768963,62.1342,54.2,47.2,22.0,26.3,14.5,18.1,-5.0879
South Carolina,1376.0,2026,111.734,104.906,0.673731,66.3541,50.3,51.0,26.6,32.3,14.4,14.7,-5.72815
Lamar,1249.0,2026,103.501,110.532,0.319545,65.338,47.8,50.9,35.7,29.4,18.1,17.3,-14.0088
Kentucky,1246.0,2026,120.743,101.312,0.882647,68.1082,53.4,48.7,34.7,29.4,15.3,15.5,2.53241
Lafayette,1248.0,2026,101.088,115.718,0.174446,66.778,49.3,53.6,25.8,28.6,15.3,15.1,-16.9273
VCU,1433.0,2026,119.456,104.753,0.819117,69.1218,54.3,48.9,33.1,30.0,15.5,17.1,1.05123
Wisconsin,1458.0,2026,127.114,102.794,0.91998,68.9761,54.7,51.3,29.7,27.3,12.9,14.5,4.1737
Alabama,1104.0,2026,130.29,103.309,0.935138,72.9102,55.6,49.1,32.3,33.0,13.2,12.7,6.9343
Tennessee Tech,1399.0,2026,102.304,117.712,0.166123,67.0515,48.9,51.5,31.3,30.7,19.1,15.1,-14.5088
NJIT,1312.0,2026,98.789,112.909,0.177068,68.1185,46.9,50.1,26.1,32.3,17.0,16.2,-11.407
North Alabama,1466.0,2026,100.477,118.608,0.129228,64.8153,48.0,55.2,31.2,32.2,17.5,14.5,-16.9789
Alabama A&M,1105.0,2026,105.711,117.367,0.230969,65.3641,49.4,52.4,27.4,29.6,16.5,16.7,-10.7012
Cal Baptist,1465.0,2026,108.116,101.244,0.680303,65.8504,48.4,46.1,38.1,27.4,18.1,16.9,-2.63388
Dartmouth,1171.0,2026,105.477,113.811,0.294307,69.4473,51.8,52.7,23.7,29.7,17.6,13.8,-11.39
La Salle,1247.0,2026,106.317,109.04,0.427795,65.4853,45.4,54.5,33.5,31.6,18.3,17.1,-13.7441
Tulsa,1409.0,2026,122.609,108.581,0.801758,67.8518,57.4,50.1,32.4,28.7,15.1,15.6,-0.470002
Incarnate Word,1230.0,2026,108.862,118.387,0.27595,65.4194,50.2,54.5,32.1,32.0,17.2,15.7,-13.6163
St. Thomas,1472.0,2026,114.501,108.536,0.649133,68.3791,59.4,50.9,22.3,27.1,13.8,17.1,-4.87386
Grand Canyon,1213.0,2026,110.908,97.387,0.816842,67.9111,51.6,47.3,31.6,25.3,17.7,17.4,-2.38325
Michigan St.,1277.0,2026,122.714,95.816,0.94508,65.8229,53.6,48.0,38.3,22.6,17.1,14.9,7.82805
Cal St. Fullerton,1168.0,2026,108.893,111.47,0.433164,72.6807,52.0,55.1,24.6,28.4,15.1,19.4,-8.63886
Southeastern Louisiana,1368.0,2026,99.755,110.497,0.235759,65.4035,46.7,52.4,28.6,31.4,18.4,19.1,-16.4692
UC Riverside,1415.0,2026,103.915,111.309,0.312059,68.483,48.9,52.7,27.8,30.0,19.0,15.5,-15.2176
Clemson,1155.0,2026,116.123,97.437,0.882635,64.3285,53.1,48.3,28.5,25.5,14.7,17.5,2.35357
Colorado,1160.0,2026,118.282,107.162,0.756838,68.638,53.1,53.0,29.1,29.5,14.6,15.6,-1.9482
Coastal Carolina,1157.0,2026,102.591,108.066,0.354832,67.0611,47.9,46.8,26.9,27.6,15.2,12.3,-8.7684
North Carolina A&T,1299.0,2026,105.168,117.638,0.216087,68.4846,50.7,52.9,31.7,28.6,18.6,14.1,-15.0116
Washington,1449.0,2026,117.097,102.628,0.820058,67.0973,51.4,49.9,34.3,28.6,15.5,14.4,-3.05504
Colorado St.,1161.0,2026,119.433,110.144,0.717309,62.8746,58.9,53.2,30.1,28.9,18.5,15.0,-2.60151
UMBC,1420.0,2026,107.613,109.703,0.444943,66.0029,53.7,49.5,24.7,25.0,14.3,15.2,-5.1379
Louisiana Monroe,1419.0,2026,101.505,122.624,0.102139,70.2509,47.8,57.1,25.1,35.4,16.9,15.7,-23.0748
The Citadel,1154.0,2026,100.675,120.998,0.107689,64.1599,49.5,57.5,27.9,31.5,16.3,14.7,-18.3259
Hofstra,1220.0,2026,113.828,105.359,0.708692,64.69,51.7,45.8,34.7,30.8,16.1,15.1,-4.59005
UMass Lowell,1262.0,2026,103.172,116.7,0.195157,69.3082,50.1,53.2,32.4,29.2,18.0,14.4,-12.7449
South Alabama,1375.0,2026,107.548,109.659,0.444337,64.617,52.7,50.0,25.2,31.3,13.2,18.2,-7.38603
Butler,1139.0,2026,117.637,106.217,0.763937,68.8779,50.9,51.5,34.9,30.2,16.1,15.2,-3.56126
SIU Edwardsville,1188.0,2026,99.5968,106.719,0.311252,64.4102,49.5,45.6,30.1,31.6,17.9,17.0,-10.5405
Northern Colorado,1294.0,2026,112.698,110.401,0.558923,68.4921,55.7,50.1,27.2,24.2,15.4,12.4,-6.94491
Iowa,1234.0,2026,122.468,100.657,0.905122,63.0325,56.3,52.5,30.3,27.8,15.1,21.0,1.90083
Florida A&M,1197.0,2026,100.089,110.586,0.241047,67.9118,49.3,51.6,30.6,30.4,21.4,18.9,-10.8215
TCU,1395.0,2026,114.263,99.6027,0.829081,67.4728,50.9,51.3,34.1,28.8,15.6,20.1,2.2673
Middle Tennessee,1292.0,2026,110.215,108.744,0.538541,65.3344,51.6,50.8,30.6,28.3,16.9,15.0,-7.87479
Oregon,1332.0,2026,112.784,103.807,0.721898,65.9905,49.7,51.0,32.7,32.1,17.8,15.7,-5.56889
