Rank,Team,Conf,W-L,KP_AdjEM,KP_AdjO,KP_AdjD,KP_AdjT,KP_Luck,KP_SOS_AdjEM,KP_OppO,KP_OppD,KP_NCSOS_AdjEM,TeamID,Season
151,Winthrop,BSth,23-11,1.18,111.9,110.7,70.1,0.025,-4.4,107.4,111.8,1.52,1457.0,2026
152,Towson,CAA,19-15,1.15,106.1,104.9,63.5,0.012,-0.5,109.5,110.0,3.45,1406.0,2026
153,Kent St.,MAC,23-8,1.13,112.2,111.1,70.5,0.151,-2.71,109.6,112.3,-2.98,1245.0,2026
154,Boston College,ACC,11-20,1.12,104.1,103.0,66.0,-0.035,6.99,113.5,106.5,-7.05,1130.0,2026
155,UC Davis,BW,18-13,1.06,109.3,108.3,68.3,0.038,-0.08,108.4,108.5,2.12,1413.0,2026
156,UT Arlington,WAC,17-13,1.01,103.1,102.0,65.0,0.037,0.93,109.2,108.3,3.74,1426.0,2026
157,Cornell,Ivy,15-12,1.0,119.8,118.8,71.6,-0.026,-1.43,108.3,109.8,-0.34,1165.0,2026
158,Valparaiso,MVC,18-15,0.96,108.4,107.4,65.2,0.041,1.15,109.6,108.5,-5.73,1434.0,2026
159,St. Bonaventure,A10,15-16,0.91,113.8,112.8,67.2,-0.042,1.51,109.6,108.1,-4.15,1382.0,2026
160,Loyola Marymount,WCC,15-17,0.81,106.8,106.0,67.0,-0.045,1.06,110.1,109.1,-5.23,1258.0,2026
161,Temple,Amer,16-15,0.71,112.7,112.0,65.1,-0.062,-1.34,108.0,109.3,-2.53,1396.0,2026
162,Penn,Ivy,16-11,0.7,107.8,107.1,69.3,0.044,-0.79,109.3,110.1,0.93,1335.0,2026
163,Georgia Tech,ACC,11-20,0.65,108.2,107.5,70.7,-0.039,6.66,112.2,105.6,-9.38,1210.0,2026
164,Idaho,BSky,19-14,0.6,109.2,108.6,67.6,-0.022,-1.28,109.9,111.2,1.13,1225.0,2026
165,Eastern Washington,BSky,14-18,0.56,113.9,113.4,67.6,-0.058,1.11,110.6,109.4,7.78,1186.0,2026
166,East Tennessee St.,SC,23-11,0.49,110.0,109.5,66.1,-0.021,-7.63,107.1,114.8,-3.92,1190.0,2026
167,Western Kentucky,CUSA,18-13,0.37,108.5,108.2,69.7,0.017,-0.62,110.0,110.7,1.69,1443.0,2026
168,Fordham,A10,17-14,0.36,105.1,104.7,64.5,-0.044,-2.34,108.0,110.3,-15.83,1200.0,2026
169,Cal St. Fullerton,BW,17-15,0.29,110.6,110.3,72.6,0.046,1.55,110.0,108.4,6.78,1168.0,2026
170,Oakland,Horz,16-16,0.17,115.4,115.2,69.9,0.016,0.2,110.9,110.7,17.59,1324.0,2026
171,Middle Tennessee,CUSA,17-14,-0.0,109.3,109.4,65.6,0.018,1.19,110.3,109.1,11.54,1292.0,2026
172,Charleston,CAA,21-11,-0.16,108.3,108.5,67.7,0.105,-1.72,109.4,111.1,-1.3,1158.0,2026
173,Merrimack,MAAC,23-10,-0.19,107.6,107.8,63.4,0.126,-5.53,105.5,111.0,3.81,1467.0,2026
174,Austin Peay,ASun,22-9,-0.34,108.2,108.5,69.5,0.033,-6.29,108.9,115.2,2.28,1122.0,2026
175,Texas A&M Corpus Chris,Slnd,18-14,-0.44,105.3,105.8,66.2,0.018,-0.06,109.1,109.1,16.95,,2026
